,YEAR,MONTH,Rate Death per 100000 inhabitants,DEPARTMENT,dateInt,Date,Year_Month,Death Rate
186,2019,7,26.59396371254265,VALLE DEL CAUCA,2019071,2019-07-01,2019-07,0.0002659396371254265
187,2019,8,14.250954889970462,VALLE DEL CAUCA,2019081,2019-08-01,2019-08,0.0001425095488997046
188,2019,9,19.35701846021832,VALLE DEL CAUCA,2019091,2019-09-01,2019-09,0.0001935701846021832
189,2019,10,18.111404652775,VALLE DEL CAUCA,2019101,2019-10-01,2019-10,0.00018111404652775
190,2019,11,18.22704878538641,VALLE DEL CAUCA,2019111,2019-11-01,2019-11,0.00018227048785386408
191,2019,12,12.688456816912405,VALLE DEL CAUCA,2019121,2019-12-01,2019-12,0.00012688456816912404
192,2019,1,8.484530593431252,ANTIOQUIA,2019011,2019-01-01,2019-01,8.484530593431252e-05
193,2019,2,12.248061947595971,ANTIOQUIA,2019021,2019-02-01,2019-02,0.0001224806194759597
194,2019,3,14.684833352138996,ANTIOQUIA,2019031,2019-03-01,2019-03,0.00014684833352138996
195,2019,4,12.656874672226424,ANTIOQUIA,2019041,2019-04-01,2019-04,0.00012656874672226423
196,2019,5,10.83909996617196,ANTIOQUIA,2019051,2019-05-01,2019-05,0.0001083909996617196
197,2019,6,16.40599711304286,ANTIOQUIA,2019061,2019-06-01,2019-06,0.0001640599711304286
198,2019,7,13.98755460959873,ANTIOQUIA,2019071,2019-07-01,2019-07,0.0001398755460959873
199,2019,8,18.525251166466028,ANTIOQUIA,2019081,2019-08-01,2019-08,0.00018525251166466027
200,2019,9,10.661072857647511,ANTIOQUIA,2019091,2019-09-01,2019-09,0.00010661072857647511
201,2019,10,19.36548533662269,ANTIOQUIA,2019101,2019-10-01,2019-10,0.0001936548533662269
202,2019,11,16.265376794148047,ANTIOQUIA,2019111,2019-11-01,2019-11,0.00016265376794148047
203,2019,12,17.04275844588388,ANTIOQUIA,2019121,2019-12-01,2019-12,0.0001704275844588388
204,2019,1,20.581024978799267,NACIONAL,2019011,2019-01-01,2019-01,0.00020581024978799265
205,2019,2,17.571342210924097,NACIONAL,2019021,2019-02-01,2019-02,0.00017571342210924098
206,2019,3,18.38728213581169,NACIONAL,2019031,2019-03-01,2019-03,0.00018387282135811693
207,2019,4,18.516019264307506,NACIONAL,2019041,2019-04-01,2019-04,0.00018516019264307504
208,2019,5,19.641923005041,NACIONAL,2019051,2019-05-01,2019-05,0.00019641923005041001
209,2019,6,20.887563893502737,NACIONAL,2019061,2019-06-01,2019-06,0.00020887563893502736
210,2019,7,20.5754984250804,NACIONAL,2019071,2019-07-01,2019-07,0.000205754984250804
211,2019,8,19.28820677887748,NACIONAL,2019081,2019-08-01,2019-08,0.0001928820677887748
212,2019,9,16.8780805622695,NACIONAL,2019091,2019-09-01,2019-09,0.00016878080562269499
213,2019,10,17.12511164208365,NACIONAL,2019101,2019-10-01,2019-10,0.0001712511164208365
214,2019,11,16.90063163806908,NACIONAL,2019111,2019-11-01,2019-11,0.0001690063163806908
215,2019,12,19.69759105848037,NACIONAL,2019121,2019-12-01,2019-12,0.0001969759105848037
216,2020,1,20.078176542871415,ATLANTICO,2020011,2020-01-01,2020-01,0.00020078176542871415
217,2020,2,24.62912390600016,ATLANTICO,2020021,2020-02-01,2020-02,0.0002462912390600016
218,2020,3,21.39319161284512,ATLANTICO,2020031,2020-03-01,2020-03,0.00021393191612845117
219,2020,4,24.120363836251585,ATLANTICO,2020041,2020-04-01,2020-04,0.00024120363836251584
220,2020,5,24.861638768453503,ATLANTICO,2020051,2020-05-01,2020-05,0.00024861638768453503
221,2020,6,27.491563361212293,ATLANTICO,2020061,2020-06-01,2020-06,0.0002749156336121229
222,2020,7,23.42834181037952,ATLANTICO,2020071,2020-07-01,2020-07,0.00023428341810379522
223,2020,8,26.280593675840343,ATLANTICO,2020081,2020-08-01,2020-08,0.00026280593675840345
224,2020,9,12.59435551418774,ATLANTICO,2020091,2020-09-01,2020-09,0.0001259435551418774
225,2020,10,18.846725973596897,ATLANTICO,2020101,2020-10-01,2020-10,0.00018846725973596898
226,2020,11,16.400140149384644,ATLANTICO,2020111,2020-11-01,2020-11,0.00016400140149384643
227,2020,12,18.435457724830275,ATLANTICO,2020121,2020-12-01,2020-12,0.00018435457724830275
228,2020,1,20.769006714391363,BOGOTA D.C.,2020011,2020-01-01,2020-01,0.00020769006714391362
229,2020,2,14.77084581658896,BOGOTA D.C.,2020021,2020-02-01,2020-02,0.0001477084581658896
230,2020,3,17.39997513814541,BOGOTA D.C.,2020031,2020-03-01,2020-03,0.0001739997513814541
231,2020,4,15.557797328475136,BOGOTA D.C.,2020041,2020-04-01,2020-04,0.00015557797328475135
232,2020,5,18.083722661728817,BOGOTA D.C.,2020051,2020-05-01,2020-05,0.00018083722661728818
233,2020,6,20.644848989843297,BOGOTA D.C.,2020061,2020-06-01,2020-06,0.00020644848989843296
234,2020,7,19.552129101925644,BOGOTA D.C.,2020071,2020-07-01,2020-07,0.00019552129101925645
235,2020,8,18.92249087035145,BOGOTA D.C.,2020081,2020-08-01,2020-08,0.0001892249087035145
236,2020,9,16.68981157871475,BOGOTA D.C.,2020091,2020-09-01,2020-09,0.0001668981157871475
237,2020,10,13.771148512489702,BOGOTA D.C.,2020101,2020-10-01,2020-10,0.000137711485124897
238,2020,11,16.22118557399401,BOGOTA D.C.,2020111,2020-11-01,2020-11,0.00016221185573994009
239,2020,12,17.809609540290264,BOGOTA D.C.,2020121,2020-12-01,2020-12,0.00017809609540290263
240,2020,1,17.90785211337652,HUILA,2020011,2020-01-01,2020-01,0.0001790785211337652
241,2020,2,16.321853449877747,HUILA,2020021,2020-02-01,2020-02,0.00016321853449877745
242,2020,3,14.70878709786244,HUILA,2020031,2020-03-01,2020-03,0.0001470878709786244
243,2020,4,18.055410624899828,HUILA,2020041,2020-04-01,2020-04,0.0001805541062489983
244,2020,5,14.358154746681247,HUILA,2020051,2020-05-01,2020-05,0.00014358154746681246
245,2020,6,15.182780087621303,HUILA,2020061,2020-06-01,2020-06,0.00015182780087621303
246,2020,7,15.607931386763882,HUILA,2020071,2020-07-01,2020-07,0.00015607931386763882
247,2020,8,16.752466104204295,HUILA,2020081,2020-08-01,2020-08,0.00016752466104204294
248,2020,9,16.999427701577982,HUILA,2020091,2020-09-01,2020-09,0.00016999427701577983
249,2020,10,13.320958152609103,HUILA,2020101,2020-10-01,2020-10,0.00013320958152609103
250,2020,11,18.21112239668847,HUILA,2020111,2020-11-01,2020-11,0.0001821112239668847
251,2020,12,16.060391969936532,HUILA,2020121,2020-12-01,2020-12,0.00016060391969936532
252,2020,1,24.322510434346547,NARIÑO,2020011,2020-01-01,2020-01,0.00024322510434346547
253,2020,2,17.60972118151718,NARIÑO,2020021,2020-02-01,2020-02,0.0001760972118151718
254,2020,3,21.626272533663087,NARIÑO,2020031,2020-03-01,2020-03,0.00021626272533663087
