,Sucursal,Rango_Edad,Fechas,Year_Month,FCC_y_m,Count_CCont,FR_y_m,Count_Ret,FS_y_m,Count_Sin,CumSum_CCont,CumSum_Ret,CumSum_Sin,Pop_Actual,Pop_SinRetiros,Proporcion_Siniestros,Year,Month
2781,VALLE DEL CAUCA,5-14,2021-10-01,2021-10,2021-10,126.0,,0.0,,0.0,7620.0,31.0,5.0,7620.0,7620.0,0.0,2021,10
2782,VALLE DEL CAUCA,5-14,2021-11-01,2021-11,2021-11,86.0,2021-11,1.0,,0.0,7706.0,32.0,5.0,7705.0,7705.0,0.0,2021,11
2783,VALLE DEL CAUCA,5-14,2021-12-01,2021-12,2021-12,53.0,,0.0,,0.0,7759.0,32.0,5.0,7759.0,7759.0,0.0,2021,12
2784,VALLE DEL CAUCA,5-14,2022-01-01,2022-01,2022-01,55.0,,0.0,,0.0,7814.0,32.0,5.0,7814.0,7814.0,0.0,2022,1
2785,VALLE DEL CAUCA,5-14,2022-02-01,2022-02,2022-02,72.0,2022-02,1.0,,0.0,7886.0,33.0,5.0,7885.0,7885.0,0.0,2022,2
2786,VALLE DEL CAUCA,5-14,2022-03-01,2022-03,2022-03,16.0,,0.0,,0.0,7902.0,33.0,5.0,7902.0,7902.0,0.0,2022,3
2787,VALLE DEL CAUCA,5-14,2022-04-01,2022-04,,0.0,,0.0,,0.0,7902.0,33.0,5.0,7902.0,7902.0,0.0,2022,4
2788,VALLE DEL CAUCA,5-14,2022-05-01,2022-05,,0.0,,0.0,,0.0,7902.0,33.0,5.0,7902.0,7902.0,0.0,2022,5
2789,VALLE DEL CAUCA,5-14,2022-06-01,2022-06,,0.0,,0.0,,0.0,7902.0,33.0,5.0,7902.0,7902.0,0.0,2022,6
2790,VALLE DEL CAUCA,85-99,2015-01-01,2015-01,2015-01,30.0,,0.0,,0.0,30.0,0.0,0.0,30.0,30.0,0.0,2015,1
2791,VALLE DEL CAUCA,85-99,2015-02-01,2015-02,2015-02,23.0,,0.0,,0.0,53.0,0.0,0.0,53.0,53.0,0.0,2015,2
2792,VALLE DEL CAUCA,85-99,2015-03-01,2015-03,2015-03,23.0,2015-03,2.0,,0.0,76.0,2.0,0.0,74.0,74.0,0.0,2015,3
2793,VALLE DEL CAUCA,85-99,2015-04-01,2015-04,2015-04,45.0,,0.0,,0.0,121.0,2.0,0.0,121.0,121.0,0.0,2015,4
2794,VALLE DEL CAUCA,85-99,2015-05-01,2015-05,2015-05,36.0,,0.0,,0.0,157.0,2.0,0.0,157.0,157.0,0.0,2015,5
2795,VALLE DEL CAUCA,85-99,2015-06-01,2015-06,2015-06,31.0,,0.0,,0.0,188.0,2.0,0.0,188.0,188.0,0.0,2015,6
2796,VALLE DEL CAUCA,85-99,2015-07-01,2015-07,2015-07,24.0,,0.0,,0.0,212.0,2.0,0.0,212.0,212.0,0.0,2015,7
2797,VALLE DEL CAUCA,85-99,2015-08-01,2015-08,2015-08,5.0,2015-08,1.0,2015-08,2.0,217.0,3.0,2.0,214.0,216.0,0.009259259259259259,2015,8
2798,VALLE DEL CAUCA,85-99,2015-09-01,2015-09,2015-09,9.0,2015-09,1.0,,0.0,226.0,4.0,2.0,225.0,225.0,0.0,2015,9
2799,VALLE DEL CAUCA,85-99,2015-10-01,2015-10,2015-10,9.0,2015-10,2.0,2015-10,2.0,235.0,6.0,4.0,231.0,233.0,0.008583690987124463,2015,10
2800,VALLE DEL CAUCA,85-99,2015-11-01,2015-11,2015-11,4.0,,0.0,,0.0,239.0,6.0,4.0,239.0,239.0,0.0,2015,11
2801,VALLE DEL CAUCA,85-99,2015-12-01,2015-12,2015-12,6.0,2015-12,3.0,2015-12,1.0,245.0,9.0,5.0,241.0,242.0,0.004132231404958678,2015,12
2802,VALLE DEL CAUCA,85-99,2016-01-01,2016-01,2016-01,4.0,,0.0,2016-01,1.0,249.0,9.0,6.0,248.0,249.0,0.004016064257028112,2016,1
2803,VALLE DEL CAUCA,85-99,2016-02-01,2016-02,2016-02,5.0,2016-02,1.0,,0.0,254.0,10.0,6.0,253.0,253.0,0.0,2016,2
2804,VALLE DEL CAUCA,85-99,2016-03-01,2016-03,,0.0,2016-03,1.0,2016-03,1.0,254.0,11.0,7.0,252.0,253.0,0.003952569169960474,2016,3
2805,VALLE DEL CAUCA,85-99,2016-04-01,2016-04,2016-04,2.0,2016-04,4.0,2016-04,3.0,256.0,15.0,10.0,249.0,252.0,0.011904761904761904,2016,4
2806,VALLE DEL CAUCA,85-99,2016-05-01,2016-05,2016-05,2.0,,0.0,,0.0,258.0,15.0,10.0,258.0,258.0,0.0,2016,5
2807,VALLE DEL CAUCA,85-99,2016-06-01,2016-06,2016-06,3.0,2016-06,1.0,,0.0,261.0,16.0,10.0,260.0,260.0,0.0,2016,6
2808,VALLE DEL CAUCA,85-99,2016-07-01,2016-07,2016-07,2.0,2016-07,2.0,2016-07,1.0,263.0,18.0,11.0,260.0,261.0,0.0038314176245210726,2016,7
2809,VALLE DEL CAUCA,85-99,2016-08-01,2016-08,2016-08,6.0,,0.0,,0.0,269.0,18.0,11.0,269.0,269.0,0.0,2016,8
2810,VALLE DEL CAUCA,85-99,2016-09-01,2016-09,2016-09,4.0,2016-09,1.0,,0.0,273.0,19.0,11.0,272.0,272.0,0.0,2016,9
2811,VALLE DEL CAUCA,85-99,2016-10-01,2016-10,,0.0,2016-10,1.0,,0.0,273.0,20.0,11.0,272.0,272.0,0.0,2016,10
2812,VALLE DEL CAUCA,85-99,2016-11-01,2016-11,2016-11,3.0,,0.0,,0.0,276.0,20.0,11.0,276.0,276.0,0.0,2016,11
2813,VALLE DEL CAUCA,85-99,2016-12-01,2016-12,2016-12,3.0,,0.0,,0.0,279.0,20.0,11.0,279.0,279.0,0.0,2016,12
2814,VALLE DEL CAUCA,85-99,2017-01-01,2017-01,2017-01,23.0,,0.0,2017-01,3.0,302.0,20.0,14.0,299.0,302.0,0.009933774834437087,2017,1
2815,VALLE DEL CAUCA,85-99,2017-02-01,2017-02,2017-02,5.0,,0.0,2017-02,1.0,307.0,20.0,15.0,306.0,307.0,0.003257328990228013,2017,2
