,YEAR,DEPARTMENT,"Death Rate per 100,000 inhabitants",DATA,Death Rate
6,2018,VALLE DEL CAUCA,,DANE,0.0031377027847297842
7,2018,ANTIOQUIA,,DANE,0.005220925153534312
8,2018,NACIONAL,,DANE,0.004909643471077557
9,2019,ATLANTICO,,DANE,0.002935768268680035
10,2019,BOGOTA D.C.,,DANE,0.004361064477526487
11,2019,HUILA,,DANE,0.0019697007851404145
12,2019,NARIÑO,,DANE,0.0013603596355415007
13,2019,SANTANDER,,DANE,0.0016191549201463925
14,2019,TOLIMA,,DANE,0.0025956461144933008
15,2019,VALLE DEL CAUCA,,DANE,0.003187650210825093
16,2019,ANTIOQUIA,,DANE,0.005184875100557916
17,2019,NACIONAL,,DANE,0.004927475638473057
18,2020,ATLANTICO,,DANE,0.003959466549620456
19,2020,BOGOTA D.C.,,DANE,0.003495928311749895
20,2020,HUILA,,DANE,0.0018067522555284686
21,2020,NARIÑO,,DANE,0.0012990014305317111
22,2020,SANTANDER,,DANE,0.0015136633772838612
23,2020,TOLIMA,,DANE,0.0040865727478517026
24,2020,VALLE DEL CAUCA,,DANE,0.00025826304621560177
25,2020,ANTIOQUIA,,DANE,0.005590947289909103
26,2020,NACIONAL,,DANE,0.002834717182633218
27,2021,ATLANTICO,,DANE,0.0026441728298793707
28,2021,BOGOTA D.C.,,DANE,0.004170303855115405
29,2021,HUILA,,DANE,0.0019765748218261337
30,2021,NARIÑO,,DANE,0.000544837604701217
31,2021,SANTANDER,,DANE,0.001567678673718419
32,2021,TOLIMA,,DANE,0.003855591462559304
33,2021,VALLE DEL CAUCA,,DANE,0.0011509187505666036
34,2021,ANTIOQUIA,,DANE,0.005033852989288789
35,2021,NACIONAL,,DANE,0.004530319064459622
36,2022,ATLANTICO,,DANE,0.0025134278850497305
37,2022,BOGOTA D.C.,,DANE,0.00406422679254144
38,2022,HUILA,,DANE,0.0019171751442376575
39,2022,NARIÑO,,DANE,0.00033475675226336983
40,2022,SANTANDER,,DANE,0.0015898607628114835
41,2022,TOLIMA,,DANE,0.005294384707008193
42,2022,VALLE DEL CAUCA,,DANE,0.00038206491837527166
43,2022,ANTIOQUIA,,DANE,0.005016802861929549
44,2022,NACIONAL,,DANE,0.004346824638009821
45,2023,ATLANTICO,,DANE,0.0025464392927173705
46,2023,BOGOTA D.C.,,DANE,0.0038349394127228822
47,2023,HUILA,,DANE,0.0018455373902796551
48,2023,NARIÑO,,DANE,0.00023261539484204264
49,2023,SANTANDER,,DANE,0.001591056884753544
50,2023,TOLIMA,,DANE,0.007333766888178643
51,2023,VALLE DEL CAUCA,,DANE,9.781849363563484e-05
52,2023,ANTIOQUIA,,DANE,0.005107398345171571
53,2023,NACIONAL,,DANE,0.003855928851044025
54,2024,ATLANTICO,,DANE,0.002565003026187094
55,2024,BOGOTA D.C.,,DANE,0.0036206088781321473
56,2024,HUILA,,DANE,0.0017733268515411323
57,2024,NARIÑO,,DANE,0.00015696684702374097
58,2024,SANTANDER,,DANE,0.001598003911165149
59,2024,TOLIMA,,DANE,0.010320673817618926
60,2024,VALLE DEL CAUCA,,DANE,2.4227213340158585e-05
61,2024,ANTIOQUIA,,DANE,0.005190652965762624
62,2024,NACIONAL,,DANE,0.003428585528256038
63,2025,ATLANTICO,,DANE,0.002605512877308127
64,2025,BOGOTA D.C.,,DANE,0.00340010108913078
65,2025,HUILA,,DANE,0.001700951666862688
66,2025,NARIÑO,,DANE,0.00010735058874319408
67,2025,SANTANDER,,DANE,0.0016032790530036672
68,2025,TOLIMA,,DANE,0.014626453212425918
69,2025,VALLE DEL CAUCA,,DANE,5.696919138462207e-06
70,2025,ANTIOQUIA,,DANE,0.005288596450398564
71,2025,NACIONAL,,DANE,0.0030123299224484555
72,2026,ATLANTICO,,DANE,0.002647940030365008
73,2026,BOGOTA D.C.,,DANE,0.003188026157331662
74,2026,HUILA,,DANE,0.0016293541232286378
75,2026,NARIÑO,,DANE,7.298087730160588e-05
76,2026,SANTANDER,,DANE,0.0016105105159383813
77,2026,TOLIMA,,DANE,0.02091790755356731
78,2026,VALLE DEL CAUCA,,DANE,1.301727965407866e-06
79,2026,ANTIOQUIA,,DANE,0.005387678569522116
80,2026,NACIONAL,,DANE,0.00263906786820151
